,number,author,life,title,width,height,image_url,wall,position,image_path
173,139 ,Corot jean baptiste camille, (1796-1875). ,vue du forum romain,,,,,E F XIXe S 2e étage I,
174,140 ,Corot jean baptiste camille, (1796-1875). ,vue du colisée à rome,,,,,E F XIXe S 2e étage I,
175,141 ,Corot jean baptiste camille, (1796-1875). ,paysage souvenir de mortefontaine,,,,,E F XIXe S 1er étage III,
176,141 a ,Corot jean baptiste camille, (1796-1875). ,chevrier italien effet de soleil couchant,147.0,194.5,https://upload.wikimedia.org/wikipedia/commons/e/e2/Corot_-_Le_Chevrier_italien._Effet_de_soleil_couchant.jpg,,E F XIXe S 2e étage I,data/images_paintings/176.jpg
177,141 b ,Corot jean baptiste camille, (1796-1875). ,souvenir de castel gondolfo paysage,,,,,E F XIXe S 1er étage III,data/images_paintings/177.jpg
178,141 c ,Corot jean baptiste camille, (1796-1875). ,madeleine lisant 2e,,,,,E F XIXe S 1er étage I,
179,141 d ,Corot jean baptiste camille, (1796-1875). ,le repos des chevaux,100.0,60.5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Corot_Camille_le_repos_des_chevaux_mus%C3%A9e_Chartres_Eure-et-Loir_%28France%29.jpg/1200px-Corot_Camille_le_repos_des_chevaux_mus%C3%A9e_Chartres_Eure-et-Loir_%28France%29.jpg,,E F XIXe S 1er étage I,data/images_paintings/179.jpg
180,141 e ,Corot jean baptiste camille, (1796-1875). ,les baigneuses,94.0,80.5,https://upload.wikimedia.org/wikipedia/commons/3/33/Corot_-_Les_Baigneuses_de_Bellinzona._Effet_du_soir%2C_1855_vers.jpg,,E F XIXe S 1er étage I,data/images_paintings/180.jpg
181,141 f ,Corot jean baptiste camille, (1796-1875). ,le beffroi de douai 1871,,,,,E F XIXe S 1er étage I,
182,S N ,Corot jean baptiste camille, (1796-1875). ,venise la piazetta 1834,,,,,E F XIXe S 2e étage I,
183,S N ,Corot jean baptiste camille, (1796-1875). ,le coup de vent,56.6,40.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000652/84ee244.jpg,,E F XIXe S 2e étage II,data/images_paintings/183.jpg
184,S N ,Corot jean baptiste camille, (1796-1875). ,homme en armure,59.0,73.5,https://upload.wikimedia.org/wikipedia/commons/2/2e/Corot%2C_Homme_en_armure_dit_aussi_l%27Homme_d%27armes_assis.jpg,,Esc T T,data/images_paintings/184.jpg
185,S N ,Corot jean baptiste camille, (1796-1875). ,portrait de melle sennegon nièce de l'artiste,,,,,E F XIXe S 1er étage I,
186,S N ,Corot jean baptiste camille, (1796-1875). ,intérieur de la cathédrale de sens,40.0,61.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Jean-Baptiste-Camille_Corot_023.jpg/1200px-Jean-Baptiste-Camille_Corot_023.jpg,,E F XIXe S 1er étage II,data/images_paintings/186.jpg
187,S N ,Corot jean baptiste camille, (1796-1875). ,portrait de femme dite la femme à la perle,,,,N,VIII,
188,S N ,Corot jean baptiste camille, (1796-1875). ,la trinité des monts vue de l'académie de france à rome,,,,,E F XIXe S 1er étage II,
189,2801 ,Corot jean baptiste camille, (1796-1875). ,le vallon,53.5,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Jean-Baptiste-Camille_Corot_-_The_Vale_-_WGA5289.jpg/1200px-Jean-Baptiste-Camille_Corot_-_The_Vale_-_WGA5289.jpg,,T T,data/images_paintings/189.jpg
190,2802 ,Corot jean baptiste camille, (1796-1875). ,la porte de jerzual à dinan,34.5,43.0,https://upload.wikimedia.org/wikipedia/commons/3/32/Corot_-_La_porte_du_Jerzual_%C3%A0_Dinan%2C_1860.jpg,,T T,data/images_paintings/190.jpg
191,2803 ,Corot jean baptiste camille, (1796-1875). ,le chemin de sevrés,49.0,34.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Jean-Baptiste-Camille_Corot_051.jpg/1200px-Jean-Baptiste-Camille_Corot_051.jpg,,T T,data/images_paintings/191.jpg
192,2804 ,Corot jean baptiste camille, (1796-1875). ,danse de bergers de sorrente,,,,,T T,
193,2805 ,Corot jean baptiste camille, (1796-1875). ,la saulaie,52.3,32.0,https://upload.wikimedia.org/wikipedia/commons/c/c4/Corot_-_Saulaie_%C3%A0_la_pointe_d%27un_marais%2C_1865_vers_%3B_1870_ou%2C_R1401.jpg,,T T,data/images_paintings/193.jpg
194,2806 ,Corot jean baptiste camille, (1796-1875). ,souvenir d'italie,38.5,46.5,,,T T,
195,2807 ,Corot jean baptiste camille, (1796-1875). ,l'étang,68.0,47.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/JBC_Corot-L%27%C3%A9tang_de_Ville_d%27Avray.jpg/1200px-JBC_Corot-L%27%C3%A9tang_de_Ville_d%27Avray.jpg,,T T,data/images_paintings/195.jpg
196,2808 ,Corot jean baptiste camille, (1796-1875). ,entrée de village environs de beauvais,,,,,T T,
197,2809 ,Corot jean baptiste camille, (1796-1875). ,les chaumières,45.0,37.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Jean-Baptiste-Camille_Corot_-_Saules_et_Ferme_de_Sainte-Catherine-l%C3%A8s-Arras.jpg/1200px-Jean-Baptiste-Camille_Corot_-_Saules_et_Ferme_de_Sainte-Catherine-l%C3%A8s-Arras.jpg,,T T,data/images_paintings/197.jpg
198,2810 ,Corot jean baptiste camille, (1796-1875). ,la route de sin le noble près douai dite la route d'arras ,,,,,T T,
199,2811 ,Corot jean baptiste camille, (1796-1875). ,le soir  ,102.0,62.5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Jean-Baptiste-Camille_Corot_-_Landscape_with_Lake_and_Boatman_-_84.PA.79_-_J._Paul_Getty_Museum.jpg/1200px-Jean-Baptiste-Camille_Corot_-_Landscape_with_Lake_and_Boatman_-_84.PA.79_-_J._Paul_Getty_Museum.jpg,,T T,data/images_paintings/199.jpg
200,2812 ,Corot jean baptiste camille, (1796-1875). ,l'églogue,,,,,T T,
201,2,Corot jean baptiste camille, (1796-1875). ,le pêcheur en barque sur 'étang,,,,,Coll Chauchard galerie,
202,3,Corot jean baptiste camille, (1796-1875). ,la charrette souvenir de marcoussis,130.3,98.2,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000551/07-523816.jpg,,Coll Chauchard galerie,data/images_paintings/202.jpg
203,4,Corot jean baptiste camille, (1796-1875). ,une soirée ,73.0,51.5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Camille_corot%2C_una_serata%2C_battello_ormeggiato_a_riva%2C_ante_1855.jpg/1200px-Camille_corot%2C_una_serata%2C_battello_ormeggiato_a_riva%2C_ante_1855.jpg,,Coll Chauchard II,data/images_paintings/203.jpg
204,6,Corot jean baptiste camille, (1796-1875). ,chevrier jouant de la flûte dans une clairière,85.0,100.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000672/05-510050.jpg,,Coll Chauchard IV,data/images_paintings/204.jpg
205,7,Corot jean baptiste camille, (1796-1875). ,nymphe désarmant l'amour,,,,,Coll Chauchard IV,
206,8,Corot jean baptiste camille, (1796-1875). ,danse des nymphes,132.0,97.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Camille_Corot_-_A_Morning._The_Dance_of_the_Nymphs_-_Google_Art_Project.jpg/1200px-Camille_Corot_-_A_Morning._The_Dance_of_the_Nymphs_-_Google_Art_Project.jpg,,Coll Chauchard IV,data/images_paintings/206.jpg
207,9,Corot jean baptiste camille, (1796-1875). ,les chevriers des lies borroiiiées,,,,,Coll Chauchard IV,
208,10,Corot jean baptiste camille, (1796-1875). ,la route,81.0,60.0,https://upload.wikimedia.org/wikipedia/commons/3/3e/Route_de_Sin_le_noble_pres_de_Douai.jpg,,Coll Chauchard IV,data/images_paintings/208.jpg
209,11,Corot jean baptiste camille, (1796-1875). ,le matin ou la clairière au lever du jour,,,,,Coll Chauchard galerie,
210,12,Corot jean baptiste camille, (1796-1875). ,l'étang de ville d'avray,55.2,46.4,https://upload.wikimedia.org/wikipedia/commons/9/97/Corot_-_Ville_d%27Avray._L%27%C3%89tang_et_la_Maison_Cabassud%2C_c._1855-1860.jpg,,Coll Chauchard III,data/images_paintings/210.jpg
211,13,Corot jean baptiste camille, (1796-1875). ,le passeur,134.0,107.5,https://upload.wikimedia.org/wikipedia/commons/8/82/Corot_-_Le_Passeur%2C_1873_vers%2C_R2108.jpg,,Coll Chauchard III,data/images_paintings/211.jpg
212,14,Corot jean baptiste camille, (1796-1875). ,le pâtre devant l'étang,41.0,27.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000558/09-535952.jpg,,Coll Chauchard galerie,data/images_paintings/212.jpg
213,15,Corot jean baptiste camille, (1796-1875). ,le repos sous les saules,60.5,45.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000559/82-001284.jpg,,Coll Chauchard galerie,data/images_paintings/213.jpg
214,16,Corot jean baptiste camille, (1796-1875). ,le passage du gué,,99.0,https://upload.wikimedia.org/wikipedia/commons/d/da/Jean-Baptiste-Camille_Corot_-_Le_Passage_du_gu%C3%A9%2C_le_soir.jpg,,Coll Chauchard galerie,data/images_paintings/214.jpg
215,17,Corot jean baptiste camille, (1796-1875). ,le matin,257.5,168.8,https://upload.wikimedia.org/wikipedia/commons/9/90/Le_bain_de_Diane.jpg,,Coll Chauchard IV,data/images_paintings/215.jpg
216,18,Corot jean baptiste camille, (171)6-18751. ,le soir,102.0,62.5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Jean-Baptiste-Camille_Corot_-_Landscape_with_Lake_and_Boatman_-_84.PA.79_-_J._Paul_Getty_Museum.jpg/1200px-Jean-Baptiste-Camille_Corot_-_Landscape_with_Lake_and_Boatman_-_84.PA.79_-_J._Paul_Getty_Museum.jpg,,Coll Chauchard IV,data/images_paintings/216.jpg
217,19,Corot jean baptiste camille, (171)6-18751. ,le catalpa souvenir de ville d'atay,,,,,Coll Chauchard IV,
218,20,Corot jean baptiste camille, (171)6-18751. ,la clairière souvenir de ville d'avray,134.0,100.0,https://upload.wikimedia.org/wikipedia/commons/8/8e/Souvenir_de_Villed%27Avray-Jean-Baptiste_Camille_Corot.jpg,,Coll Chauchard IV,data/images_paintings/218.jpg
219,21,Corot jean baptiste camille, (171)6-18751. ,les marécages à la tour carrée,,,,,Coll Chauchard galerie,
220,22,Corot jean baptiste camille, (171)6-18751. ,la levée des htets,,,,,Musée Charles X S III,
221,23,Corot jean baptiste camille, (171)6-18751. ,le pont de palluel — iii 24 — la danse des bergères souvenir d'arleux,,,,,Coll Chauchard galerie,
222,25,Corot jean baptiste camille, (171)6-18751. ,près arras les bûcheronnes,115.0,88.0,,,Coll Chauchard IV,
223,26,Corot jean baptiste camille, (171)6-18751. ,souvenir des landes,69.0,44.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000634/98-006120a.jpg,,Coll Chauchard IV,data/images_paintings/223.jpg
224,27,Corot jean baptiste camille, (171)6-18751. ,le moulin de saint nicolas lès arras,81.0,65.0,https://upload.wikimedia.org/wikipedia/commons/8/88/Jean-Baptiste-Camille_Corot_-_Mill_at_Saint-Nicolas-les-Arras_-_WGA05305.jpg,,Musée Charles X S III,data/images_paintings/224.jpg
225,156,Corot jean baptiste camille, (171)6-18751. ,fillette à sa toilette,24.2,34.0,https://upload.wikimedia.org/wikipedia/commons/1/10/Corot_-_Jeune_fille_%C3%A0_sa_toilette.jpg,,Musée Charles X S III,data/images_paintings/225.jpg
226, ,Couder louis charles auguste, (1790-1873). ,la terre combat d'hercule et d'antée — l'eau achille près d'être englouti par le xanthe et le simoïs — le feu vénus recevant de vulcain les armes pour enée,,,,,Vest Galerie d'Apollon coupole,
227,143 ,Courbet gustave, (1819-1877). ,un enterrement à ornans,668.0,315.45,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Gustave_Courbet_-_A_Burial_at_Ornans_-_Google_Art_Project.jpg/1200px-Gustave_Courbet_-_A_Burial_at_Ornans_-_Google_Art_Project.jpg,E,VIII,data/images_paintings/227.jpg
228,144 ,Courbet gustave, (1819-1877). ,l'homme blessé ,97.5,81.5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Portrait_of_the_Artist_called_The_Wounded_Man_%28L%27homme_bless%C3%A9%29_by_Gustave_Courbet.jpg/1200px-Portrait_of_the_Artist_called_The_Wounded_Man_%28L%27homme_bless%C3%A9%29_by_Gustave_Courbet.jpg,S,VIII,data/images_paintings/228.jpg
229,144 a ,Courbet gustave, (1819-1877). ,portrait de champfleury ,38.1,46.3,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000688/06-519812a.jpg,,E F XIXe S 2e étage I,data/images_paintings/229.jpg
230,145 ,Courbet gustave, (1819-1877). ,combat de cerfs,507.0,355.0,https://upload.wikimedia.org/wikipedia/commons/0/07/Spring_Rut_The_Battle_of_the_Stags_1861_Gustave_Courbet.jpg,E,VIII,data/images_paintings/230.jpg
231,145 a ,Courbet gustave, (1819-1877). ,remise de chevreuils,72.5,54.0,https://upload.wikimedia.org/wikipedia/commons/1/1e/Courbet-Chevreuil-Lyon.jpg,O,VIII,data/images_paintings/231.jpg
232,146 ,Courbet gustave, (1819-1877). ,chevreuil sous bois,,,,,E F XIXe S 1er étage II,data/images_paintings/232.jpg
233,147 ,Courbet gustave, (1819-1877). ,l'homme à la ceinture de cuir son portrait par lui même,,,,E,VIII,data/images_paintings/233.jpg
234,147 a ,Courbet gustave, (1819-1877). ,la mer orageuse,160.5,117.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/La_Mer_orageuse_-_Gustave_Courbet.jpg/1200px-La_Mer_orageuse_-_Gustave_Courbet.jpg,,E F XIXe S 1er étage III,data/images_paintings/234.jpg
235,S N ,Courbet gustave, (1819-1877). ,la source ,74.3,120.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Gustave_Courbet_-_La_Font_%281862%29.jpg/1200px-Gustave_Courbet_-_La_Font_%281862%29.jpg,E,VIII,data/images_paintings/235.jpg
236,S N ,Courbet gustave, (1819-1877). ,l'atelier du peintre allégorie réelle,,,,E,VIII,
237,S N ,Courbet gustave, (1819-1877). ,portrait de berlioz en buste de trois quarts à droite1,,,,,E F XIXe S 2e étage I,
238,151 ,Courtois jacques, (1621-1676). ,combat de cavalerie,80.0,56.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000714/95de6833.jpg,N,XIV,data/images_paintings/238.jpg
239,157 ,Coypel noël, (1628-1707). ,solon défendant ses lois devant les athéniens,,,,S,XIV,
240,158 ,Coypel noël, (1628-1707). ,ptolémée philadelphe donnant la liberté aux juifs,87.5,49.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000754/08-540200.jpg,N,XIV,data/images_paintings/240.jpg
241,159 ,Coypel noël, (1628-1707). ,trajan donnant des audiences publiques,87.5,49.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000756/08-540201.jpg,N,XIV,data/images_paintings/241.jpg
242,160 ,Coypel noël, (1628-1707). ,alexandre sévère faisant distribuer du blé au peuple,86.5,49.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000753/08-540202.jpg,S,XIV,data/images_paintings/242.jpg
243,162 ,Coypel noël, (1628-1707). ,hercule combattant acheloüs,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/No%C3%ABl_Coypel_-_Hercules_Fighting_Achelous%2C_1667-1669.jpg/1200px-No%C3%ABl_Coypel_-_Hercules_Fighting_Achelous%2C_1667-1669.jpg,,S Blarenberghe,data/images_paintings/243.jpg
244,163 ,Coypel noël, (1628-1707). ,hercule déjanîre et le centaure nessus,,,,,S Blarenberghe,
245,164 ,Coypel noël, (1628-1707). ,apollon couronné par la victoire,115.0,214.0,https://upload.wikimedia.org/wikipedia/commons/3/34/No%C3%ABl_Coypel_-_Apollo_Crowned_by_Victory%2C_1667-1668.jpg,S,XIV,data/images_paintings/245.jpg
246,S N ,Coypel noël, (1628-1707). ,deux cartons de bandes de tapisserie,,,,,Esc Daru,
247,S N ,Coypel noël, (1628-1707). ,quatre cartons de bandes de tapisserie,,,,N,XIV,
248,167 ,Coypel antoine, (1661-1722).- ,athalie chassée du temple,213.0,156.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Antoine_coypel%2C_atalia_cacciata_dal_tempio%2C_ante_1697.JPG/1200px-Antoine_coypel%2C_atalia_cacciata_dal_tempio%2C_ante_1697.JPG,N,XVI,data/images_paintings/248.jpg
249,170 ,Coypel antoine, (1661-1722).- ,esther en présence d'assuérus,,,,N,XVI,
250,172 ,Coypel antoine, (1661-1722).- ,une jeune fille caressant un chien,21.5,28.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000725/11-550796.jpg,S,XVI,data/images_paintings/250.jpg
251,174 ,Coypel antoine, (1661-1722).- ,démocrite,57.0,69.0,https://upload.wikimedia.org/wikipedia/commons/b/b8/Louvre-peinture-francaise-p1020335.jpg,E,I,data/images_paintings/251.jpg
252,176 ,Coypel noël nicolas, (1692-1734). ,vénus bacchus et l'amour,143.0,244.0,,,Esc Henri IV,
253,177 ,Coypel noël nicolas, (1692-1734). ,l'innocence et l'amour,,,,S,XVI,
254,178 ,Coypel noël nicolas, (1692-1734). ,nymphe et amour,,,,S,XVI,
255,180 ,Coypel charles antoine, (1694-17521. ,persée délivrant andromède,196.0,131.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000737/07-524411.jpg,N,XVI,data/images_paintings/255.jpg
256,182 ,Coypel charles antoine, (1694-17521. ,portrait de l'acteur jelyotte en costume de femme,,,,S,I,data/images_paintings/256.jpg
257,S N ,Danloux henri pierre, (1753-1809:. ,portrait de m délavai,,,,E,XVI,
258,S o ,Danloux henri pierre, (1753-1809:. ,portrait de mgr j f de la marche évêque de s1 pol de léon,,,,E,XVI,
259,S N ,Danloux henri pierre, (1753-1809:. ,jeune fille attribué,,,,,Coll Schlichting,
260,S N ,Danloux henri pierre, (1753-1809:. ,les petits espiègles ,,,,,Coll Schlichting,
261,185 a ,Daubigny charles françois, (1817- 1878). ,la moisson,,,,,E F XIXe S 1er étage I,
262,2813 ,Daubigny charles françois, (1817- 1878). ,un coin de normanjie,,,,,T T,
263,2814 ,Daubigny charles françois, (1817- 1878). ,le marais,,,,,T T,
264,2815 ,Daubigny charles françois, (1817- 1878). ,la mare aux cigognes,,,,,T T,
265,2816 ,Daubigny charles françois, (1817- 1878). ,soleil couchant,90.0,43.0,,,T T,
266,2817 ,Daubigny charles françois, (1817- 1878). ,les graves de vi11erville ,,,,,T T,
267,2818 ,Daubigny charles françois, (1817- 1878). ,la vanne d'optevoz  ,73.0,48.5,https://upload.wikimedia.org/wikipedia/commons/f/f1/Charles-Fran%C3%A7ois_Daubigny_-_The_Sluice-gate_at_Optevoz_%28Is%C3%A8re%29_-_WGA5939.jpg,,T T,data/images_paintings/267.jpg
268,2819 ,Daubigny charles françois, (1817- 1878). ,bateaux sur l'oise ,66.5,38.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Bateaux_sur_l%27Oise_by_Daubigny_Louvre_RF1369_n1.jpg/1200px-Bateaux_sur_l%27Oise_by_Daubigny_Louvre_RF1369_n1.jpg,,T T,data/images_paintings/268.jpg
269,2820 ,Daubigny charles françois, (1817- 1878). ,les péniches,67.0,38.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Les_P%C3%A9niches_by_Daubigny_Louvre_RF1362_n1.jpg/1200px-Les_P%C3%A9niches_by_Daubigny_Louvre_RF1362_n1.jpg,,T T,data/images_paintings/269.jpg
270,2821 ,Daubigny charles françois, (1817- 1878). ,la tamise à erith,,,,,T T,
271,2822 ,Daubigny charles françois, (1817- 1878). ,le moulin de gylieu,69.0,40.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000780/08-540216.jpg,,T T,data/images_paintings/271.jpg
272,2823 ,Daubigny charles françois, (1817- 1878). ,les bords de l'oise,,,,,T T,
273,2824 ,Daubigny charles françois, (1817- 1878). ,le matin,67.0,38.0,,,T T,
274,2825 ,Daubigny charles françois, (1817- 1878). ,l'étang,83.5,42.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000797/92-001690-02.jpg,,T T,data/images_paintings/274.jpg
275,28,Daubigny charles françois, (1817-1878). ,la seine à bezons,57.0,37.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000787/93-001026-02.jpg,,Coll Chauchard galerie,data/images_paintings/275.jpg
276,29,Daubigny charles françois, (1817-1878). ,gardeuse de dindons,42.0,25.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000784/04-509056.jpg,,Coll Chauchard galerie,data/images_paintings/276.jpg
277,30,Daubigny charles françois, (1817-1878). ,les laveuses   effet de soleil couchant,90.0,43.0,,,Musée Charles X S III,
278,31,Daubigny charles françois, (1817-1878). ,soleil couchant sur l'oise,90.0,43.0,,,Coll Chauchard II,
279,32,Daubigny charles françois, (1817-1878). ,la vallée d'arques,,,,,Coll Chauchard galerie,
280,33,Daubigny charles françois, (1817-1878). ,la mare au clair ,38.0,59.0,,,Coll Chauchard III,
281,34,Daubigny charles françois, (1817-1878). ,bords de l'oise le pêcheur,57.6,34.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000796/11-567047.jpg,,Coll Chauchard II,data/images_paintings/281.jpg
