,number,author,life,title,position
241,* ,"Couder, Louis-Charles-Auguste.", (1790-1873). ,La Terre; combat d'Hercule et d'Antée. — L'eau: Achille près d'être englouti par le Xanthe et le Simoïs. — Le feu: Vénus recevant de Vulcain les armes pour Enée,"Vestibule Galerie d'Apollon, Coupole"
242,143 ,"Courbet, Gustave.", (1819-1877). ,Un enterrement à Ornans. ,VIII-E
243,144 ,"Courbet, Gustave.", (1819-1877). ,"L'homme blessé ,  ",VIII-S
244,144 a ,"Courbet, Gustave.", (1819-1877). ,"Portrait de Champfleury. , ",E. F. XIXe S. 2e étage 1
245,145 ,"Courbet, Gustave.", (1819-1877). ,Combat de cerfs ,VIII-E
246,145 a ,"Courbet, Gustave.", (1819-1877). ,Remise de chevreuils ,VIII-0
247,146 ,"Courbet, Gustave.", (1819-1877). ,Chevreuil sous bois ,E. F. XIXe S' 1er étage II
249,147 ,"Courbet, Gustave.", (1819-1877). ,"L'homme à la ceinture de cuir. Son portrait, par lui-même ",VIII-E
250,147 a ,"Courbet, Gustave.", (1819-1877). ,La mer orageuse ,E. F. XIXe S. 1er étage III
251,S. N° ,"Courbet, Gustave.", (1819-1877). ,La source. ; ,VIII-E
252,S. N° ,"Courbet, Gustave.", (1819-1877). ,"L'atelier du peintre, allégorie réelle. ",VIII-E
253,S. N° ,"Courbet, Gustave.", (1819-1877). ,"Portrait de Berlioz (en buste, de trois quarts à droite1) ",E. F. XIXe S. 2e étage I
254,151 ,"Courtois, Jacques, dit le Bourguignon.", (1621-1676). ,Combat de cavalerie ,XIV-N
256,157 ,"Coypel, Noël.", (1628-1707). ,Solon défendant ses lois devant les Athéniens. ,XIV-S
257,158 ,"Coypel, Noël.", (1628-1707). ,Ptolémée Philadelphe donnant la liberté aux juifs ,XIV-N
258,159 ,"Coypel, Noël.", (1628-1707). ,Trajan donnant des audiences publiques ,XIV-N
259,160 ,"Coypel, Noël.", (1628-1707). ,"Alexandre Sévère faisant distribuer du blé au peuple, ",XIV-S
260,162 ,"Coypel, Noël.", (1628-1707). ,Hercule combattant Acheloüs,S. Blarenberghe
261,163 ,"Coypel, Noël.", (1628-1707). ,"Hercule, Déjanîre et le centaure Nessus",S. Blarenberghe
262,164 ,"Coypel, Noël.", (1628-1707). ,Apollon couronné par la Victoire. ,XIV-S
263,S. N° ,"Coypel, Noël.", (1628-1707). ,Deux Cartons de bandes de tapisserie.,Esc. Daru
264,S. N° ,"Coypel, Noël.", (1628-1707). ,Quatre Cartons de bandes de tapisserie ,XIV-N
265,167 ,"Coypel, Antoine.", (1661-1722).- ,Athalie chassée du temple ,XVI-N
266,170 ,"Coypel, Antoine.", (1661-1722).- ,Esther en présence d'Assuérus. ,XVI-N
267,172 ,"Coypel, Antoine.", (1661-1722).- ,Une jeune fille caressant un chien ,XVI-S
268,174 ,"Coypel, Antoine.", (1661-1722).- ,Démocrite. ,I-E
269,176 ,"Coypel, Noël-Nicolas.", (1692-1734). ,"Vénus, Bacchus et l'Amour",Esc. Henri IV
270,177 ,"Coypel, Noël-Nicolas.", (1692-1734). ,L'Innocence et l'Amour ,XVI-S
271,178 ,"Coypel, Noël-Nicolas.", (1692-1734). ,Nymphe et Amour. ,XVI-S
272,180 ,"Coypel, Charles-Antoine.", (1694-17521. ,Persée délivrant Andromède. ,XVI-N
273,182 ,"Coypel, Charles-Antoine.", (1694-17521. ,Portrait de l'acteur Jelyotte en costume de femme ,I-S
274,"S. N"" ","Danloux, Henri-Pierre.", (1753-1809:. ,Portrait de M. Délavai. ,XVI-E
275,S. o ,"Danloux, Henri-Pierre.", (1753-1809:. ,"Portrait de Mgr. J.-F. De la Marche, évêque de S1. Pol de Léon ",XVI-E
276,"S. N"" ","Danloux, Henri-Pierre.", (1753-1809:. ,Jeune fille (Attribué),Coll. Schlichting
277,"S. N"" ","Danloux, Henri-Pierre.", (1753-1809:. ,"Les petits espiègles. ,",Coll. Schlichting
280,185 a ,"Daubigny, Charles-François.", (1817- 1878). ,La moisson ,E. F. XIXe S. 1er étage I
281,2813 ,"Daubigny, Charles-François.", (1817- 1878). ,Un coin de NormanJie ,T. T.
282,2814 ,"Daubigny, Charles-François.", (1817- 1878). ,Le marais. ,T. T.
283,2815 ,"Daubigny, Charles-François.", (1817- 1878). ,La mare aux cigognes ,T. T.
284,2816 ,"Daubigny, Charles-François.", (1817- 1878). ,Soleil couchant ,T. T.
285,2817 ,"Daubigny, Charles-François.", (1817- 1878). ,"Les graves de Vi11erville. , ",T. T.
286,2818 ,"Daubigny, Charles-François.", (1817- 1878). ,"La vanne d'Optevoz. , , ",T. T.
287,2819 ,"Daubigny, Charles-François.", (1817- 1878). ,"Bateaux sur l'Oise , ",T. T.
288,2820 ,"Daubigny, Charles-François.", (1817- 1878). ,Les péniches ,T. T.
289,2821 ,"Daubigny, Charles-François.", (1817- 1878). ,La Tamise à Erith. ,T. T.
290,2822 ,"Daubigny, Charles-François.", (1817- 1878). ,Le moulin de Gylieu ,T. T.
291,2823 ,"Daubigny, Charles-François.", (1817- 1878). ,Les bords de l'Oise. ,T. T.
292,2824 ,"Daubigny, Charles-François.", (1817- 1878). ,Le matin. ,T. T.
293,2825 ,"Daubigny, Charles-François.", (1817- 1878). ,L'étang ,T. T.
294,(28) ,"Daubigny, Charles-François.", (1817-1878). ,La Seine à Bezons.,"Coll. Chauchard, galerie"
295,(29) ,"Daubigny, Charles-François.", (1817-1878). ,Gardeuse de dindons.,"Coll. Chauchard, galerie"
296,(30) ,"Daubigny, Charles-François.", (1817-1878). ,Les laveuses - Effet de soleil couchant.,"Coll. Chauchard, 1"
297,(31) ,"Daubigny, Charles-François.", (1817-1878). ,Soleil couchant sur l'Oise,"Coll. Chauchard, II"
298,(32) ,"Daubigny, Charles-François.", (1817-1878). ,La vallée d'Arques,"Coll. Chauchard, galerie"
299,(33) ,"Daubigny, Charles-François.", (1817-1878). ,La mare au Clair :,"Coll. Chauchard, III"
300,(34) ,"Daubigny, Charles-François.", (1817-1878). ,"Bords de l'Oise, le pêcheur","Coll. Chauchard, II"
301,2937 ,"Daumier, Honoré.", (1808-1879). ,Les voleurs et l'âne ,E. F. XIXe S. 2e étage II
302,S. N° ,"Daumier, Honoré.", (1808-1879). ,Crispin et Scapin ,VIII-S
303,"S. N"" ","Dauzats, Adrien.", (1804-1868). ,Le couvent du mont Athos ,Palier esc. T. T.
304,186 ,"Dauzats, Adrien.", (1804-1868). ,Vue intérieure d'une église d'Espagne ,E. F. XIXe S. 1er étage 1
305,186 a ,"Dauzats, Adrien.", (1804-1868). ,La giralda à Séville. 2e ,II
306,187 ,"David, Jacques-Louis.", (1748-1825). ,Léonidas aux Thermopyles. ,III-N
307,188 ,"David, Jacques-Louis.", (1748-1825). ,"Les Sabines , , ",II-S
308,189 ,"David, Jacques-Louis.", (1748-1825). ,Le serment des Horaces. ,111-0
309,190 ,"David, Jacques-Louis.", (1748-1825). ,"Le serment des Horaces; esquisse du tableau précédent , , , , ",11-0
310,191 ,"David, Jacques-Louis.", (1748-1825). ,Les licteurs rapportant à Brutus les corps de ses fils. ,111-0
311,192 ,"David, Jacques-Louis.", (1748-1825). ,Bélisaire demandant l'aumône ,III-E
312,193 ,"David, Jacques-Louis.", (1748-1825). ,Combat de Minerve contre Mars ,111-0
313,194 ,"David, Jacques-Louis.", (1748-1825). ,Les amours de Pâris et d'Hélene ,111-0
314,195 ,"David, Jacques-Louis.", (1748-1825). ,Figure académique (Patrocle) ,II-S
315,196 ,"David, Jacques-Louis.", (1748-1825). ,"Portrait de M. Pécoul, entrepreneur des bâtiments du roi, beau-père de David ",III-E
316,197 ,"David, Jacques-Louis.", (1748-1825). ,"Portrait du Mme Pécoul, femme du précédent. ",III-E
318,197 a ,"David, Jacques-Louis.", (1748-1825). ,Portrait de Monsieur Sériziat ,III-N
319,197 b ,"David, Jacques-Louis.", (1748-1825). ,Portrait de Madame Sériziat ,III-N
320,198 ,"David, Jacques-Louis.", (1748-1825). ,Portrait du pape Pie VII ,111-0
321,199 ,"David, Jacques-Louis.", (1748-1825). ,Portrait de Mrae Récamier. ,III-N
322,199 a ,"David, Jacques-Louis.", (1748-1825). ,Portrait de Mme Chalgrin ,III-E
323,200 ,"David, Jacques-Louis.", (1748-1825). ,"Portrait d'Antoine Mongez, membre de l'Institut, administrateur des Monnaies, et de Mme Mongez, Angélique Levol, peintre ",111-0
324,200 a ,"David, Jacques-Louis.", (1748-1825). ,Les trois dames de Gand. Portraits de Madame Morel de Tangry (née van Thiegem) et de ses deux filles. ,111-0
325,201 ,"David, Jacques-Louis.", (1748-1825). ,Portrait de Bailly. ,I-S
326,202 ,"David, Jacques-Louis.", (1748-1825). ,Portrait de David dans sa jeunesse ,III-E
327,"S. X"" ","David, Jacques-Louis.", (1748-1825). ,"Portrait de Catherine Marie Jeanne Tallard, 1795. ",III-E
328,S. o ,"David, Jacques-Louis.", (1748-1825). ,"Portrait du conventionnel Milhaud, représentant du peuple ",111-0
329,"S. X"" ","David, Jacques-Louis.", (1748-1825). ,"Portrait de l'acteur Wolf, dit Bernard. ",111-0
330,"S. X"" ","David, Jacques-Louis.", (1748-1825). ,"Portrait d'Alexandre Lenoir, 1817 ",11-0
331,"S. X"" ","David, Jacques-Louis.", (1748-1825). ,Vue du jardin du Luxembourg en 1794 ,III-E
332,203 ,"Debar, Bonaventure.", (1700-1729). ,Fête champêtre ,XVI-N
333,204 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Les chevaux de halage ,E. F. XIXe S. 2e étage 1
334,205 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,La caravane ; esquisse,E. F. XIXe S. 2e étage II
335,205 a ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Paysage,E. F. XIXe S. 2e étage II
337,205 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Murs d'Aigues-Mortes ,E. F. XIXe S. 2e étage I
338,206 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Bouledogue et terrier écossais:,E. F. XIXe S. 2e étage II
339,2826 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Le singe pt'intre. - -  ,T. T.
340,2827 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Une rue de Smyrne. - ,T. T.
341,2828 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Chiens de chasse au repos. ,T. T.
342,2829 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Chiens bassets. ,T. T.
343,2830 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,"Chien basset noir et blanc, au chenil ",T. T.
344,2831 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Le remouleur ,T. T.
345,2832 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Les sonneurs. ,T. T.
346,2833 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Le campement des bohémiens ,T. T.
347,2834 ,"( Decamps, Alexandre-Gabriel.", (1S03-1X60L ,Le rat retiré du monde ,T. T.
348,2836 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Les nlendiants ,T. T.
349,2837 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Bouledogue et terrier écossais ,T. T.
350,2838 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Le valet de chiens. ,T. T.
351,2839 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Chiens brifauts ,T. T.
352,2840 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Eléphant et tigre à la source. ,T. T.
353,2841 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Bertrand et Raton ,T. T.
354,2842 ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,La cour de ferme. ,T. T.
355,35) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Le marchand turc fumant dans sa boutique.,"Coll. Chauchard, IV i36) — Le marchand d'oranges. , — galerie"
356,(37) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,"Intérieur de cour rustique — IV (38i — Le Christ au prétoire — galerie 158> Degas, Edgar. 1 1 g 31 - 1 l) l 7). — Course de Gentlemen - Avant le départ","Coll. Camondo (159^ i36) La femme à la potiche. , galerie"
357,(160) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Le foyer de la danse à l'Opéra de la rue Le Peletier  - 1I6I) — Le pédicure.,"Coll. Camondo (159^ i36) La femme à la potiche. , galerie"
358,162) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Répétition d'un ballet sur la scène,"Coll. Camondo (159^ i36) La femme à la potiche. , galerie"
359,163) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,Classe de danse,"Coll. Camondo (159^ i36) La femme à la potiche. , galerie"
360,1164) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,L'absinthe.,"Coll. Camondo (159^ i36) La femme à la potiche. , galerie"
361,165) ,"Decamps, Alexandre-Gabriel.", (1803-1860). ,"Devant les tribunes. ,","Coll. Camondo (159^ i36) La femme à la potiche. , galerie"
371,(227) ,"Degas, Edgar.", (1X3.1-1917). ,Au Louvre. Devant le sarcophage étrusque. Mary Cassatt (Eau-forte),Coll. Camondo
372,(228) ,"Degas, Edgar.", (1X3.1-1917). ,Le lever. Femme assise mettant ses bas. Monotype,Coll. Camondo
373,(229) ,"Degas, Edgar.", (1X3.1-1917). ,Femme debout dans une baignoire. Monotype.,Coll. Camondo
374,1230 ,"Degas, Edgar.", (1X3.1-1917). ,"Femme s'essuyant les pieds, près d'une baignoire. Monotype",Coll. Camondo
375,206 a ,"Dehodencq, Edme-Alfred-Alexis.", (1822-1882). ,Portrait du peintre. ,E. F. XIXe S. 2e étage 1 206' b — Arrestation de Charlotte Corday — II
376,206 c ,"Dehodencq, Edme-Alfred-Alexis.", (1822-1882). ,Portrait du peintre J. L. Hamon.,Marine 1
377,207 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,"Dante et Virgile, conduits par Phlégias, traversent le lac qui entoure la ville infernale de Dite ",VIII-N
378,208 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Scènes des massacres de Scio ,VIII-0
379,209 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,"La Liberté guidant le peuple, 28 Juillet 1830 ",VIII-0
380,210 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Femmes d'Alger dans leur appartement ,VIII-0
381,211 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Noce juive au Maroc ,VIII-N
382,212 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le naufrage de Don Juan. ,VIII-N
383,212 h ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Jeune tigre jouant avec sa mère ,VIII-S
384,213 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Prise de Constantinople par les croisés. ,VIII-E
385,213 a ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Portrait de Chopin. ,E. F. XIXe S. 2e étage 1
386,214 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,"Son portrait, par lui-même ",VIII-N
387,2843 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,La fiancée d'Abydos ,T. T.
388,2844 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,La mort d'Ophélie ,T. T.
389,2846 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le lion au sanglier. ,T. T.
390,2847 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le lion au caïman. ,T. T.
391,2848 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le lion au Japin ,T. T.
392,2849 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le Christ en croix ,T. T.
393,2850 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,L'enlèvement de Rébecca. ,T. T.
394,2851 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Hamlet et Horatio. ,T. T.
395,2852 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Médée. ,T. T.
396,2853 ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Lionne prête à s'élancer. ,T. T.
397,S. N° ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Hamlet et Horatio ,E. F. XIXe S. 1er étage III
398,S. N° ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le poêle; coin d'atelier. ,E. F. XIXe S. 1er étage 1
399,S. N° ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,L'appartement du comte de Mornay,E. F. XIXe S. 1er étage 1
400,S. N° ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Portrait de Georges Sand. ,E. F. XIXe S. 2e étage 1
401,S. N° ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,La mort de Sardanapale. ,VIII-0
402,S. N° ,"DELACROIX 213 DELACROIX Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Apollon vainqueur du serpent Python. Plafond.,Gai. d'Apollon
403,(39) ,"DELACROIX 213 DELACROIX Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,La chasse au tigre.,"Coll. Chauchard, galerie"
404,(40) ,"DELACROIX 213 DELACROIX Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Le puma.,"Coll. Chauchard, galerie"
405,(169) ,"DELACROIX 213 DELACROIX Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Passage d'un gué au Maroc,Coll. Camondo
406,(231) ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Tigre attaquant un cheval sauvage. Aquarelle.,Coll. Camondo
407,(232) ,"Delacroix, Ferdinand-Victor-Eugène.", (1798-1863). ,Lion dévorant un cheval. Aquarelle:.,Coll. Camondo
408,216 ,"Delaroche, Paul.", (1797-1856). ,"Mort d'Elisabeth, reine d'Angleterre, en 1603. ",VIII-N
409,217 ,"Delaroche, Paul.", (1797-1856). ,"Les enfants d'Edouard IV : Edouard V, roi mineur d'Angleterre, et Richard, duc d'York, son frère pumé. ",E. F. XIXe S. 2e étage 1 r [217 a — La jeune Martyre. E. F. XIXe S. 1er étage III
410,221 ,"De Marne, Jean-Louis.", (1744-1829). ,Une route ,XVI-S
411,222 ,"De Marne, Jean-Louis.", (1744-1829). ,Une foire à la porte d'une auberge ,XVI-S
412,229 ,"Desportes, François.", (1661-1743). ,"Diane et Blonde, chiennes de la meute de Louis XIV ",XVI-N
413,234 ,"Desportes, François.", (1661-1743). ,Une chienne et deux perdrix Ile,S. Meubles XVIIIe
414,237 ,"Desportes, François.", (1661-1743). ,"Nature morte. Volaille, gibier et légumes ",XVI-S
415,240 a ,"Desportes, François.", (1661-1743). ,Gibier gardé par un chien. ,XVI-N
416,241 ,"Desportes, François.", (1661-1743). ,"Gibier, fleurs et fruits Ile",S. Meubles XVIIIe
417,242 ,"Desportes, François.", (1661-1743). ,"Gibier, fleurs et fruits",S. Meubles XVIIIe
418,245 ,"Desportes, François.", (1661-1743). ,Fruits et gibier ,XVI-S
419,247 ,"Desportes, François.", (1661-1743). ,Deux chiens gardant du gibier.,IIe S. Meubles XVIIIe
420,249 ,"Desportes, François.", (1661-1743). ,"Son portrait, par lui-même, en chasseur. ",XVI-N
421,250 ,"Devéria, Eugène-François-Marie-Joseph.", (1805-1865). ,La naissance de Henri IV ,VIII-N
422,250 a ,"Devéria, Eugène-François-Marie-Joseph.", (1805-1865). ,Puget présentant le Milon de Crotone à Louis XIV. Esq uisse du plafond de la 3e salle de céramique antique. ,E. F. XIXe S. 2e étage II
424,* ,"Devéria, Eugène-François-Marie-Joseph.", ( 180s-1865). ,"Plafond. Puget présentant le Milon de Crotone à Louis XIV. — Voussures: Quatre tableaux représentant des épisodes du règne de Louis XIV, et des médaillons rappelant les principales fondations du règne. Illme",S. de Céramique antique
425,251 ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Les Pyrénées; étude ,E. F. XIXe S. 2e étage 1
426,252 ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Etude de bouleau,E. F. XIXe S. 2e étage 1
427,255 ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Les Bohémiens.,E. F. XIXe S. 2e étage 1
428,257 a ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Chiens dans la forêt,E. F. XIXe S. 2e étage 1
429,2854 ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Nymphes sous bois. ,T. T.
430,2855 ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Baigneuses. ,T. T.
431,2856 ,"Diaz de la Pena, Narcisse.", (1809-1876). ,Le valet de chiens. ,T. T.
432,2858 ,"Diaz de la Pena, Narcisse.", (1K09-1876). ,Vénus et Adonis. ,T. T.
446,260 ,"Doyen, Gabriel-François.", (1726-1806). ,Triomphe d'Amphitrite -. ,XVI-S
447,261 ,"Drolling, Martin."," 1,1752-18171. ",Intérieur d'une cuisine ,XVI-N
448,262 ,"Drolling, Martin."," 1,1752-18171. ",Femme à une fenêtre.,"- , 1-0"
449,263 ,"Drolling, Martin."," 1,1752-18171. ",Joueur de violon à une ienêtre. ,1-0
450,* ,"Drolling, Michel-Martin.", (1786-1851). ,"Plafond: Louis Xill proclamé père du peuple aux étatsgénéraux de Tours, en 1506. — Voussures: Armes de différentes villes. VlIlllle",S. de Céramique antique
451,* ,"Drolling, Michel-Martin.", (1786-1851). ,"La Loi descend sur la terre. — Voussures : La Sagesse inspirant la Loi, la Justice dirigeant la Force. IIme",S. Meubles XVIIIe
452,"S. N"" ","Drouais, Hubert.", (16^9-17671. ,Portrait de Melle Pélissier (d'après i,Coll. Schlichting
453,267 ,"Drouais, François-Hubert.", (i727-1775). ,Portrait du sculpteur Edme Bouchardon ,XVI-N
454,S. N° ,"Drouais, François-Hubert.", (i727-1775). ,Portrait de jeune femme.,Coll. Schlichting
455,S. N° ,"Drouais, François-Hubert.", (i727-1775). ,Portrait de Mme Loys.,Vest. S. anglaises
456,269 ,"Drouais, Jean-Germain.", (1763-1788). ,Le Christ et la Chananéenne. ,XV-E
457,272 ,"Dubois, Ambroise.", (15/13-1614). ,Le baptême de Clorinde par Tancrède. ,XI
458,271 ,"Du Breuil, Toussaint.", (1562-1602). ,Sacrifice antique ,XI
459,272 a ,"Dubufe, Edouard.", (1820-1883). ,Portrait du peintre Philippe Rousseau. ,E. F. XIXe S. 1er étage 1
460,S. N° ,"Dubufe, Edouard.", (1820-1883). ,Portrait de la Comtesse Hallez Claparède,E. F. XIXe S. 1er étage 1
461,S. N° ,"Ducreux, Joseph.", (1737-1802). ,"Son portrait, par lui-même ",XVI-E
462,S. N° ,"Ducreux, Joseph.", (1737-1802). ,Portrait de J.-Ch. Laveaux. Pastel.,S. des Pastels
463,S. Nu ,"Ducreux, Joseph.", (1737-1802). ,"Son portrait, par lui-même. Pastel. ,",S. des Pastels
464,* ,"Dumas, Michel.", (1814-1885). ,"Homère déifié, d'après Ingres. Plafond","Musée Charles X, S. IX"
465,275 ,"Dumont, Jacques.", (1701-1781). ,"Mme Mercier, nourrice du duc d'Anjou (Louis XV) entourée de sa famille. ",XVI-S
466,276 ,"Duplessis, Joseph-Siffrein ou Siffred", (1725-1802). ,Portrait du sculpteur Christophe-Gabriel Allegrain ,XVI-S
467,277 ,"Duplessis, Joseph-Siffrein ou Siffred", (1725-1802). ,Portrait du peintre Joseph-Marie Vien ,XVI-E
468,277 a ,"Duplessis, Joseph-Siffrein ou Siffred", (1725-1802). ,Portrait de femme tenant une brochure (Attribué) ,1-0
469,S. N° ,"Duplessis, Joseph-Siffrein ou Siffred", (1725-1802). ,"Portrait de M"" Lenoir. ",XVI-N
470,2864 ,"Dupré, Jules.", (1811-1889). ,L'étang ,T. T.
471,2865 ,"Dupré, Jules.", (1811-1889). ,La petite charrette ,T. T.
472,2866 ,"Dupré, Jules.", (1811-1889). ,L'automne. - ,T. T
473,2867 ,"Dupré, Jules.", (1811-1889). ,La mare. ,T. T.
474,2868 ,"Dupré, Jules.", (1811-1889). ,Pâturage de Normandie ,T. T.
475,2869 ,"Dupré, Jules.", (1811-1889). ,Paysage avec rivière ,T. T.
476,2870 ,"Dupré, Jules.", (1811-1889). ,Vaches au bord de l'eau ,T. T.
477,2871 ,"Dupré, Jules.", (1811-1889). ,Les landes. ,T. T.
